CRN,Subj,Crse,Sec,Type,Title,Days,Time,Instructor,Location
1037,ACCT,351,001,Lecture,Intermediate Financial Accounting 1.,TR,10:05 am-11:25 am,Melissa   Marginson,BRONF 002
1038,ACCT,351,002,Lecture,Intermediate Financial Accounting 1.,TR,02:35 pm-03:55 pm,Melissa   Marginson,BRONF 410
1039,ACCT,352,001,Lecture,Intermediate Financial Accounting 2.,TR,02:35 pm-03:55 pm,Amanda Stephanie  Abrams,ARMST 255
1040,ACCT,352,002,Lecture,Intermediate Financial Accounting 2.,TR,10:05 am-11:25 am,Amanda Stephanie  Abrams,BRONF 001
1041,ACCT,354,001,Lecture,Financial Statement Analysis.,MW,08:35 am-09:55 am,Matthew   Cote,BRONF 410
1042,ACCT,361,001,Lecture,Management Accounting.,TR,01:05 pm-02:25 pm,Ralph   Cecere,BRONF 340
1043,ACCT,362,001,Lecture,Cost Accounting.,MW,11:35 am-12:55 pm,Philippe   Levy,BRONF 360
1044,ACCT,385,001,Lecture,Principles of Taxation.,TR,11:35 am-12:55 pm,Brian   Wenzel,BRONF 422
1045,ACCT,451,001,Lecture,Data Analytics in Capital Market.,TR,08:35 am-09:55 am,TBA,ARMST 075
1047,ACCT,453,001,Lecture,Advanced Financial Accounting.,MW,01:05 pm-02:25 pm,Matthew   Cote,BRONF 210
1048,ACCT,453,002,Lecture,Advanced Financial Accounting.,MW,11:35 am-12:55 pm,Matthew   Cote,BRONF 210
1049,ACCT,455,001,Lecture,Development of Accounting Thought.,TR,02:35 pm-03:55 pm,Ralph   Cecere,ARMST 265
1050,ACCT,463,001,Lecture,Management Control.,M,02:35 pm-05:25 pm,Philippe   Levy,ARMST 265
1051,ACCT,475,001,Lecture,Principles of Auditing.,TR,08:35 am-09:55 am,Ralph   Cecere,ARMST 065
1052,ACCT,486,001,Lecture,Business Taxation 2.,TR,04:05 pm-05:25 pm,Melissa   Marginson,BRONF 046
1053,ACCT,618,001,Lecture,Financial Reporting: Structure and Analysis.,M,08:35 am-11:25 am,Brian   Wenzel,ARMST 375
5545,ACCT,626,075,Lecture,Data Analytics in Accounting.,R,02:35 pm-05:25 pm,Hongping   Tan,ARMST 075
6808,ACCT,705,001,Seminar,Seminar in Accounting.,M,02:35 pm-05:25 pm,"Jingjing   Zhang , Seunghwan   Oh",BRONF 310
451,AEBI,122,001,Lecture,Cell Biology.,MW,01:05 pm-02:25 pm,Fernando   Altamura,CENTEN 1-163
431,AEBI,211,001,Lecture,Organisms 2.,MW,01:05 pm-02:25 pm,Jessica   Head,RAYMND 2-046
432,AEBI,211,002,Laboratory,Organisms 2.,M,03:35 pm-06:25 pm,Jessica   Head,MACSTW B-023
447,AEBI,211,003,Laboratory,Organisms 2.,T,02:35 pm-05:25 pm,Jessica   Head,MACSTW B-023
494,AEBI,211,004,Laboratory,Organisms 2.,W,02:35 pm-05:25 pm,Jessica   Head,MACSTW B-023
440,AEBI,212,001,Lecture,Evolution and Phylogeny.,TR,11:35 am-12:55 pm,Jessica Paula  Gillung,CENTEN 1-163
437,AECH,111,001,Lecture,General Chemistry 2.,M,11:35 am-12:55 pm,Alice D  Cherestes,MACSTW B-016
438,AECH,111,002,Laboratory,General Chemistry 2.,F,08:35 am-11:25 am,Alice D  Cherestes,MACSTW B-031
439,AECH,111,003,Laboratory,General Chemistry 2.,F,02:35 pm-05:25 pm,Alice D  Cherestes,MACSTW B-031
441,AECH,111,004,Tutorial,General Chemistry 2.,M,10:35 am-11:25 am,Alice D  Cherestes,MACSTW B-016
445,AEHM,205,001,Lecture,Science Literacy.,WF,08:35 am-09:55 am,"Carole   Newman , Emily   MacKenzie",CENTEN 1-163
